CustomerID,FirstName,LastName,EmailAddress
29948,Elsie,Lewin,elsie0@adventure-works.com
29949,George,Li,george3@adventure-works.com
29950,Yale,Li,yale0@adventure-works.com
29952,Yuhong,Li,yuhong1@adventure-works.com
29953,Joseph,Lique,joseph2@adventure-works.com
29954,Paulo,Lisboa,paulo0@adventure-works.com
29955,David,Liu,david20@adventure-works.com
29956,Jinghao,Liu,jinghao1@adventure-works.com
29957,Kevin,Liu,kevin5@adventure-works.com
29959,Todd,Logan,todd0@adventure-works.com
29962,Sharon,Looney,sharon2@adventure-works.com
29964,Anita,Lucerne,anita0@adventure-works.com
29967,Judy,Lundahl,judy1@adventure-works.com
29969,Robert,Lyeba,robert8@adventure-works.com
29971,Robert,Lyon,robert9@adventure-works.com
29973,Denise,Maccietto,denise1@adventure-works.com
29974,Scott,MacDonald,scott7@adventure-works.com
29975,Walter,Mays,walter1@adventure-works.com
29978,Ajay,Manchepalli,ajay0@adventure-works.com
29980,Tomas,Manzanares,tomas0@adventure-works.com
29981,Kathy,Marcovecchio,kathy0@adventure-works.com
29982,Melissa,Marple,melissa0@adventure-works.com
29983,Cecelia,Marshall,cecelia0@adventure-works.com
29985,Linda,Martin,linda8@adventure-works.com
29987,Frank,MartÂ¡nez,frank5@adventure-works.com
29988,Steve,Masters,steve2@adventure-works.com
29990,Jennifer,Maxham,jennifer1@adventure-works.com
29991,Chris,Maxwell,chris6@adventure-works.com
29992,Sandra,Maynard,sandra4@adventure-works.com
29994,Robin,McGuigan,robin0@adventure-works.com
29997,Lola,McCarthy,lola0@adventure-works.com
29998,Jane,McCarty,jane3@adventure-works.com
30000,James,McCoy,james12@adventure-works.com
30003,Yvonne,McKay,yvonne1@adventure-works.com
30004,Nkenge,McLin,nkenge0@adventure-works.com
30005,Nancy,McPhearson,nancy3@adventure-works.com
30007,Raquel,Mello,raquel0@adventure-works.com
30008,R. Morgan,Mendoza,rmorgan0@adventure-works.com
30010,Stephen,Mew,stephen4@adventure-works.com
30012,Helen,Meyer,helen2@adventure-works.com
30016,Thomas,Michaels,thomas2@adventure-works.com
30018,Virginia,Miller,virginia0@adventure-works.com
30019,Matthew,Miller,matthew5@adventure-works.com
30021,Ben,Miller,ben1@adventure-works.com
30022,Dylan,Miller,dylan1@adventure-works.com
30023,Frank,Miller,frank6@adventure-works.com
30024,Neva,Mitchell,neva0@adventure-works.com
30025,Linda,Mitchell,linda9@adventure-works.com
30027,Joseph,Mitzner,joseph4@adventure-works.com
30028,Laura,Steele,laura3@adventure-works.com
30029,Shanay,Steelman,shanay0@adventure-works.com
30030,Stefano,Stefani,stefano0@adventure-works.com
30031,Alan,Steiner,alan4@adventure-works.com
30032,Derik,Stenerson,derik0@adventure-works.com
30033,Vassar,Stern,vassar0@adventure-works.com
30034,Wathalee,Steuber,wathalee0@adventure-works.com
30035,Alice,Steiner,alice4@adventure-works.com
30036,Liza Marie,Stevens,lizamarie0@adventure-works.com
30037,Jim,Stewart,jim5@adventure-works.com
30039,Robert,Stotka,robert12@adventure-works.com
30040,Kayla,Stotler,kayla0@adventure-works.com
30042,Ruby Sue,Styles,rubysue0@adventure-works.com
30044,Gary,Suess,gary5@adventure-works.com
30045,Ruth,Suffin,ruth2@adventure-works.com
30046,Elizabeth,Sullivan,elizabeth4@adventure-works.com
30047,Michael,Sullivan,michael24@adventure-works.com
30048,Marcia,Sultan,marcia0@adventure-works.com
30050,Krishna,Sunkammurali,krishna1@adventure-works.com
30051,Brad,Sutton,brad0@adventure-works.com
30052,Abraham,Swearengin,abraham0@adventure-works.com
30053,Katherine,Swan,katherine1@adventure-works.com
30055,Julie,Taft-Rider,julie1@adventure-works.com
30056,Clarence,Tatman,clarence0@adventure-works.com
30058,Mike,Taylor,mike6@adventure-works.com
30061,Chad,Tedford,chad1@adventure-works.com
30063,Vanessa,Tench,vanessa0@adventure-works.com
30064,Judy,Thames,judy3@adventure-works.com
30067,Phyllis,Thomas,phyllis2@adventure-works.com
30069,Donald,Thompson,donald1@adventure-works.com
30070,Kendra,Thompson,kendra0@adventure-works.com
30071,Daniel,Thompson,daniel2@adventure-works.com
30072,Andrea,Thomsen,andrea1@adventure-works.com
30074,Yuping,Tian,yuping0@adventure-works.com
30076,Diane,Tibbott,diane5@adventure-works.com
30080,Delia,Toone,delia0@adventure-works.com
30083,Glenn,Track,glenn0@adventure-works.com
30087,Billy,Trent,billy0@adventure-works.com
30089,Michael John,Troyer,michaeljohn0@adventure-works.com
30090,Christie,Trujillo,christie0@adventure-works.com
30093,Phyllis,Tuffield,phyllis3@adventure-works.com
30094,Sairaj,Uddin,sairaj1@adventure-works.com
30095,Sunil,Uppal,sunil0@adventure-works.com
30098,Esther,Valle,esther0@adventure-works.com
30100,Jessie,Valerio,jessie0@adventure-works.com
30102,Roger,Van Houten,roger2@adventure-works.com
30104,Rose,Vandenouer,rose1@adventure-works.com
30105,Gregory,Vanderbout,gregory1@adventure-works.com
30106,Michael,Vanderhyde,michael25@adventure-works.com
30107,Margaret,Vanderkamp,margaret2@adventure-works.com
30108,Kara,Vanderlinden,kara0@adventure-works.com
30109,Nieves,Vargas,nieves0@adventure-works.com
30110,Gary,Vargas,gary6@adventure-works.com
30111,Ranjit,Varkey Chudukatil,ranjit1@adventure-works.com
30112,Patricia,Vasquez,patricia2@adventure-works.com
30113,Raja,Venugopal,raja0@adventure-works.com
30115,Dora,Verdad,dora0@adventure-works.com
30116,Wanda,Vernon,wanda0@adventure-works.com
30117,Robert,Vessa,robert13@adventure-works.com
30118,Caroline,Vicknair,caroline0@adventure-works.com
1,Orlando,Gee,orlando0@adventure-works.com
2,Keith,Harris,keith0@adventure-works.com
3,Donna,Carreras,donna0@adventure-works.com
4,Janet,Gates,janet1@adventure-works.com
5,Lucy,Harrington,lucy0@adventure-works.com
6,Rosmarie,Carroll,rosmarie0@adventure-works.com
7,Dominic,Gash,dominic0@adventure-works.com
10,Kathleen,Garza,kathleen0@adventure-works.com
11,Katherine,Harding,katherine0@adventure-works.com
12,Johnny,Caprio,johnny0@adventure-works.com
16,Christopher,Beck,christopher1@adventure-works.com
18,David,Liu,david20@adventure-works.com
19,John,Beaver,john8@adventure-works.com
20,Jean,Handley,jean1@adventure-works.com
21,Jinghao,Liu,jinghao1@adventure-works.com
22,Linda,Burnett,linda4@adventure-works.com
23,Kerim,Hanif,kerim0@adventure-works.com
24,Kevin,Liu,kevin5@adventure-works.com
25,Donald,Blanton,donald0@adventure-works.com
28,Jackie,Blackwell,jackie0@adventure-works.com
29,Bryan,Hamilton,bryan2@adventure-works.com
30,Todd,Logan,todd0@adventure-works.com
34,Barbara,German,barbara4@adventure-works.com
37,Jim,Geist,jim1@adventure-works.com
38,Betty,Haines,betty0@adventure-works.com
39,Sharon,Looney,sharon2@adventure-works.com
40,Darren,Gehring,darren0@adventure-works.com
